[2022-04-28 01:59:29,475] [53] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
[2022-04-28 01:59:29,706] [53] 127.0.0.1 requested http://localhost/welcome INFO in __init__: Request
[2022-04-28 01:59:29,939] [53] 127.0.0.1 requested http://localhost/page5 INFO in __init__: Request
[2022-04-28 01:59:30,147] [53] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:01:42,489] [63] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:01:42,712] [63] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:01:43,118] [63] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:01:43,437] [63] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:01:43,505] [63] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:01:43,558] [63] 127.0.0.1 requested http://localhost/songs INFO in __init__: Request
[2022-04-28 02:01:43,685] [63] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:01:43,891] [63] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:01:44,098] [63] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:01:44,336] [63] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:01:44,591] [63] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:01:44,826] [63] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
[2022-04-28 02:01:45,033] [63] 127.0.0.1 requested http://localhost/welcome INFO in __init__: Request
[2022-04-28 02:01:45,240] [63] 127.0.0.1 requested http://localhost/page5 INFO in __init__: Request
[2022-04-28 02:01:45,434] [63] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:02:41,276] [68] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:02:41,795] [68] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:02:43,191] [68] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:02:43,880] [68] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:02:44,091] [68] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:02:44,198] [68] 127.0.0.1 requested http://localhost/songs INFO in __init__: Request
[2022-04-28 02:02:44,639] [68] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:02:45,165] [68] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:02:45,607] [68] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:02:46,032] [68] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:02:46,580] [68] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:02:47,043] [68] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
[2022-04-28 02:02:47,594] [68] 127.0.0.1 requested http://localhost/welcome INFO in __init__: Request
[2022-04-28 02:02:48,010] [68] 127.0.0.1 requested http://localhost/page5 INFO in __init__: Request
[2022-04-28 02:02:48,484] [68] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:03:35,993] [79] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:03:36,215] [79] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:03:36,684] [79] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:03:37,079] [79] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:03:37,168] [79] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:03:37,229] [79] 127.0.0.1 requested http://localhost/songs INFO in __init__: Request
[2022-04-28 02:03:37,388] [79] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:03:37,635] [79] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:03:37,887] [79] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:03:38,095] [79] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:03:38,317] [79] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:03:38,574] [79] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
[2022-04-28 02:03:38,784] [79] 127.0.0.1 requested http://localhost/welcome INFO in __init__: Request
[2022-04-28 02:03:39,020] [79] 127.0.0.1 requested http://localhost/page5 INFO in __init__: Request
[2022-04-28 02:03:39,263] [79] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:04:50,912] [89] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
